dialogue_id,length,has_negative,n_negative_utts,first_neg_utt,trigger_utt,trigger_reason,trigger_score,max_score,caught,false_handover,latency_utt
0,2,True,1,0,-1,ok,0.0,0.04353500542667187,False,False,
100,20,True,3,14,2,instant_strong_emotion,0.29181985205660765,0.39913551486809384,True,False,-12.0
101,4,False,0,-1,2,instant_strong_emotion,0.5299170311498891,0.5299170311498891,False,True,
102,9,True,3,0,5,instant_strong_emotion,0.26660936411004077,0.26660936411004077,True,False,5.0
103,4,True,2,2,2,instant_strong_emotion,0.14283415041878467,0.14283415041878467,True,False,0.0
104,2,False,0,-1,1,instant_strong_emotion,0.4121502841796434,0.4121502841796434,False,True,
105,3,True,3,0,0,instant_strong_emotion,0.258275630607358,0.4825542156687454,True,False,0.0
106,4,True,2,0,0,instant_strong_emotion,0.2995014849316473,0.2995014849316473,True,False,0.0
107,12,False,0,-1,6,instant_strong_emotion,0.12768092804961606,0.12768092804961606,False,True,
108,6,True,3,0,0,instant_strong_emotion,0.5630044459782622,0.5630044459782622,True,False,0.0
109,6,True,2,2,4,instant_strong_emotion,0.45671078582126085,0.45671078582126085,True,False,2.0
10,4,True,1,0,2,instant_strong_emotion,0.20324529730723284,0.20324529730723284,True,False,2.0
110,7,True,1,6,4,instant_strong_emotion,0.10840952283812828,0.10840952283812828,True,False,-2.0
111,14,True,4,3,2,instant_strong_emotion,0.11755145342671511,0.5793301184443919,True,False,-1.0
112,18,True,4,2,0,instant_strong_emotion,0.13110468122552865,0.575919232374668,True,False,-2.0
113,13,True,8,0,0,instant_strong_emotion,0.5786859488888033,0.584097828599458,True,False,0.0
114,5,False,0,-1,2,instant_strong_emotion,0.40644250010677213,0.4805596500722062,False,True,
115,6,True,2,2,1,instant_strong_emotion,0.13281658064984947,0.5711580155795042,True,False,-1.0
116,12,True,3,2,1,instant_strong_emotion,0.41538676484284814,0.41538676484284814,True,False,-1.0
117,8,True,2,5,5,instant_strong_emotion,0.5061720923389479,0.5061720923389479,True,False,0.0
118,10,True,1,8,6,instant_strong_emotion,0.26897568460888927,0.26897568460888927,True,False,-2.0
119,5,True,1,4,1,instant_strong_emotion,0.536528297297749,0.536528297297749,True,False,-3.0
11,5,True,1,1,0,instant_strong_emotion,0.11054076432016435,0.11054076432016435,True,False,-1.0
120,18,True,5,9,6,instant_strong_emotion,0.14547924528975106,0.5767502546799985,True,False,-3.0
121,6,False,0,-1,-1,ok,0.0,0.037247538564960506,False,False,
122,4,False,0,-1,0,instant_strong_emotion,0.5834305823115518,0.5834305823115518,False,True,
123,14,True,4,2,2,instant_strong_emotion,0.5720016669455253,0.5746746037522046,True,False,0.0
124,11,True,1,7,1,instant_strong_emotion,0.38585992273794867,0.38585992273794867,True,False,-6.0
125,18,True,2,14,5,sustained_negative_trend,0.07668062353290063,0.3086824850343426,True,False,-9.0
126,15,True,3,4,3,instant_strong_emotion,0.17755469847802616,0.5353346906514348,True,False,-1.0
127,6,True,1,0,0,instant_strong_emotion,0.5714907699330924,0.5714907699330924,True,False,0.0
128,9,True,4,3,4,instant_strong_emotion,0.5868798844546327,0.5868798844546327,True,False,1.0
129,7,False,0,-1,1,instant_strong_emotion,0.15038638880950042,0.15038638880950042,False,True,
12,20,True,4,0,0,instant_strong_emotion,0.5481840699001649,0.5803030512306467,True,False,0.0
130,16,True,2,1,0,instant_strong_emotion,0.12594198534899395,0.3302132457178435,True,False,-1.0
131,9,False,0,-1,7,instant_strong_emotion,0.10051522340106224,0.22863385130136474,False,True,
132,18,True,1,9,9,instant_strong_emotion,0.5772550977660651,0.5808499704230183,True,False,0.0
